"Date","Player1","Player2","Sets_P1","Sets_P2","P1_G1","P2_G1","P1_G2","P2_G2","P1_G3","P2_G3","P1_G4","P2_G4","P1_G5","P2_G5","HomeWinner"
2022-07-05 00:00:00,"Hiblbauer J.","Kolacek I.",3,2,11,7,10,12,11,6,11,13,11,7,1
2022-07-05 00:00:00,"Kleprlik K.","Pavliska M.",3,1,12,10,11,13,11,3,11,7,NA,NA,1
2022-07-05 00:15:00,"Pikous M.","Pycha P.",3,1,11,9,9,11,11,7,11,6,NA,NA,1
2022-07-05 00:15:00,"Schanel J.","Havel L.",2,3,5,11,11,9,5,11,11,8,8,11,0
2022-07-05 00:30:00,"Pesek K.","Svoboda V.",3,0,11,3,11,9,11,3,NA,NA,NA,NA,1
2022-07-05 00:30:00,"Skalicky J.","Mazurek M.",3,1,12,10,6,11,11,8,11,6,NA,NA,1
2022-07-05 00:35:00,"Kucirek O.","Fojt P.",3,0,11,6,11,6,11,9,NA,NA,NA,NA,1
2022-07-05 00:40:00,"Kliuchuk R.","Tiep V. D.",1,3,16,18,11,7,7,11,4,11,NA,NA,0
2022-07-05 01:00:00,"Hruska V. sr","Vrabec D.",3,2,11,4,4,11,11,6,10,12,11,8,1
2022-07-05 01:00:00,"Kulhanek P.","Placek M.",1,3,10,12,9,11,11,8,6,11,NA,NA,0
2022-07-05 01:30:00,"Hisler P.","Plachy J.",2,3,8,11,11,7,11,9,5,11,8,11,0
2022-07-05 01:30:00,"Madle L.","Strnad J.",0,3,3,11,6,11,6,11,NA,NA,NA,NA,0
2022-07-05 02:00:00,"Placek M.","Linder L.",3,0,13,11,11,8,11,5,NA,NA,NA,NA,1
2022-07-05 02:00:00,"Vrabec D.","Mazanek S.",3,0,11,5,11,9,11,8,NA,NA,NA,NA,1
2022-07-05 02:30:00,"Hruska V. sr","Madle L.",1,3,10,12,11,9,5,11,6,11,NA,NA,0
2022-07-05 02:30:00,"Kulhanek P.","Hisler P.",1,3,8,11,8,11,11,6,7,11,NA,NA,0
2022-07-05 03:00:00,"Linder L.","Plachy J.",3,2,9,11,11,8,11,6,14,16,15,13,1
2022-07-05 03:00:00,"Mazanek S.","Strnad J.",3,0,11,8,11,9,11,9,NA,NA,NA,NA,1
2022-07-05 03:30:00,"Vrabec D.","Madle L.",2,3,7,11,9,11,11,5,11,6,8,11,0
2022-07-05 03:40:00,"Placek M.","Hisler P.",3,0,11,9,11,7,11,5,NA,NA,NA,NA,1
2022-07-05 04:00:00,"Plachy J.","Kulhanek P.",3,2,6,11,11,9,8,11,11,8,11,9,1
